episode,total_reward,avg_reward_10,best_reward
596,-1.4,-1.69,0.25
597,-1.4,-1.72,0.25
598,-1.3,-1.45,0.25
599,1.4,-1.17,0.25
600,1,-0.98,0.25
601,-1.3,-0.97,0.25
602,-1.3,-1.15,0.25
603,-0.9,-1.38,0.25
604,-1.3,-1.25,0.25
605,-1.4,-0.79,0.25
606,-1.4,-0.79,0.25
607,-1.4,-0.79,0.25
608,-1.4,-0.8,0.25
609,1.2,-0.82,0.25
610,0.5,-0.87,0.25
611,-1.4,-0.88,0.25
612,0.4,-0.71,0.25
613,-1.4,-0.76,0.25
614,-1.4,-0.77,0.25
615,0,-0.63,0.25
616,-1.4,-0.63,0.25
617,-2,-0.69,0.25
618,-1.4,-0.69,0.25
619,-10.8,-1.89,0.25
620,-1.3,-2.07,0.25
621,-3,-2.23,0.25
622,-1.4,-2.41,0.25
623,1.6,-2.11,0.25
624,-1.3,-2.1,0.25
625,0.9,-2.01,0.25
626,-1.4,-2.01,0.25
627,-1.6,-1.97,0.25
628,1.5,-1.68,0.25
629,-1.4,-0.74,0.25
630,-5.2,-1.13,0.25
631,-4.3,-1.26,0.25
632,-1.4,-1.26,0.25
633,-1.9,-1.61,0.25
634,-1.4,-1.62,0.25
635,0.4,-1.67,0.25
636,-2,-1.73,0.25
637,-1.2,-1.69,0.25
638,-1.5,-1.99,0.25
639,-1,-1.95,0.25
640,-1.5,-1.58,0.25
641,-0.9,-1.24,0.25
642,-6.5,-1.75,0.25
643,0.8,-1.48,0.25
644,-4.3,-1.77,0.25
645,-1.11E-16,-1.81,0.25
646,-1.2,-1.73,0.25
647,-2.6,-1.87,0.25
648,-3,-2.02,0.25
649,-1.3,-2.05,0.25
650,0.3,-1.87,0.25
651,1.4,-1.64,0.25
652,-1.6,-1.15,0.25
653,-1.3,-1.36,0.25
654,-1.3,-1.06,0.25
655,-1.3,-1.19,0.25
656,-1.2,-1.19,0.25
657,1.2,-0.81,0.25
658,-2.3,-0.74,0.25
659,-0.6,-0.67,0.25
660,-1.4,-0.84,0.25
661,1.1,-0.87,0.25
662,-1,-0.81,0.25
663,-1.4,-0.82,0.25
664,0.3,-0.66,0.25
665,-2.1,-0.74,0.25
666,-1.4,-0.76,0.25
667,-2.7,-1.15,0.25
668,1,-0.82,0.25
669,1.9,-0.57,0.25
670,-2.5,-0.68,0.25
671,-4.7,-1.26,0.25
672,-2.7,-1.43,0.25
673,-5.6,-1.85,0.25
674,1.1,-1.77,0.25
675,-1.1,-1.67,0.25
676,-1.3,-1.66,0.25
677,-3.2,-1.71,0.25
678,-1.6,-1.97,0.25
679,-1.5,-2.31,0.25
680,-0.8,-2.14,0.25
681,-1.4,-1.81,0.25
682,-2,-1.74,0.25
683,-0.8,-1.26,0.25
684,1.3,-1.24,0.25
685,2.1,-0.92,0.25
686,-1,-0.89,0.25
687,-6.6,-1.23,0.25
688,-2,-1.27,0.25
689,-1.2,-1.24,0.25
690,-1.4,-1.3,0.25
691,-2,-1.36,0.25
